County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total,Date
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
,,,,,,,,Q2 2021
