Station Number,Station Name,Open Retail Status,Address,City,State,Zip Code,County,Number of Stations,Latitude,Longitude,Fueling Positions
62,El Cerrito - Carlson,Light-Duty Planned,3160 Carlson Boulevard, El Cerrito,CA,94530,Contra Costa,1,37.9022362,-122.3065235,4
63,San Diego - RanchoCarmel,Light-Duty Planned,11030 Rancho Carmel Drive, San Diego,CA,92128,San Diego,1,32.9770493,-117.0853434,4
64,Buena Park - Beach,Light-Duty Planned,6392 Beach Boulevard, Buena Park,CA,90621,Orange ,1,33.8679663,-117.999982,4
65,Fremont - WarmSprings,Light-Duty Planned,47700 Warm Springs Boulevard, Fremont,CA,94539,Alameda,1,37.4774314,-121.9240106,4
66,Camarillo,Light-Duty Planned,2911 Petit Street,Camarillo,CA,93012,Ventura,1,34.2153761,-119.0330428,4
67,Orinda,Light-Duty Planned,67 Moraga Way,Orinda,CA,94563,Contra Costa,1,37.87853,-122.1828633,4
68,San Diego - Washington,Light-Duty Planned,1832 West Washington Street, San Diego,CA,92103,San Diego,1,32.7431354,-117.1841057,4
69,San Jose - SantaClara,Light-Duty Planned,510 East Santa Clara Street, San Jose,CA,95112,Santa Clara,1,37.3411023,-121.8818346,4
70,Ventura,Light-Duty Planned,2121 Harbor Boulevard,Ventura,CA ,93001,Ventura,1,34.2669435,-119.2751223,4
71,Fontana,Light-Duty Planned,16880 Slover Avenue, Fontana,CA,92337,San Bernardino,1,34.0635077,-117.4382115,4
72,Los Angeles - Santa Monica,Light-Duty Planned,10867 Santa Monica Boulevard,Los Angeles,CA ,90025,Los Angeles,1,34.0498799,-118.440692,4
73,Vallejo,Light-Duty Planned,10 Sage Street,Vallejo,CA ,94589,Solano,1,38.1408057,-122.2338012,4
74,Lakewood,Light-Duty Planned,5500 South Street,Lakewood,CA ,90713,Los Angeles,1,33.8600086,-118.1295892,4
75,San Jose - N Capitol,Light-Duty Planned,1898 N Capitol Avenue,San Jose,CA ,95132,Santa Clara,1,37.4032441,-121.8839009,4
76,Fairfield,Light-Duty Planned,2595 N Texas Street,Fairfield,CA ,94533,Solano,1,38.2760086,-122.0371899,4
77,Bellflower,Light-Duty Planned,9409 Alondra Boulevard,Bellflower,CA ,90706,Los Angeles,1,33.88953,-118.1362666,4
78,San Jose - Union,Light-Duty Planned,3707 Union Avenue,San Jose,CA ,95124,Santa Clara,1,37.2600438,-121.9343032,4
79,San Jose - Redmond,Light-Duty Planned,1331 Redmond Avenue,San Jose,CA ,95120,Santa Clara,1,37.2285888,-121.8874582,4
80,Moreno Valley,Light-Duty Planned,12520 Graham Street,Moreno Valley,CA ,92553,Riverside,1,33.9389952,-117.2552857,4
81,McClellan Park,Mixed-Use Planned,4785 Bailey Loop,McClellan Park,CA ,95652,Sacramento,1,38.6540051,-121.3955803,4
82,Livermore,Mixed-Use Planned,7810 National Drive,Livermore,CA ,94550,Alameda,1,37.7058381,-121.7022006,4
83,Fresno,Mixed-Use Planned,4163 S Chestnut Avenue,Fresno,CA ,93725,Fresno,1,36.6754733,-119.7400733,4
84,Rosemead,Light-Duty Planned,939 San Gabriel Boulevard,Rosemead,CA ,91770,Los Angeles,1,34.0404372,-118.0846476,4
85,Palm Springs,Light-Duty Planned,E Vista Chino & N Gene Autry Trail,Palm Springs,CA ,92262,Riverside,1,33.845138,-116.8056125,4
86,Chino Hills,Light-Duty Planned,3260 Chino Avenue,Chino Hills,CA,91709,San Bernardino,1,34.0115034,-117.7353443,2
87,La Mirada ,Light-Duty Planned,13550 South Beach Boulevard,La Mirada,CA,90638,Los Angeles,1,33.9086133,-117.9793978,2
88,Kettleman City,Mixed-Use Planned,33252 Hubert Way,Kettleman City,CA,93239,Kings,1,35.9893994,-119.9633314,4
89,Galt,Mixed-Use Planned,Northwest corner of Carol Drive & Amador Ave,Galt,CA,95632,Sacramento,1,38.2656146,-121.3022025,4
90,Antioch,Light-Duty Planned,2413 A Street,Antioch,CA,94509,Contra Costa,1,37.99973473,-121.8054137,2
91,Beaumont,Light-Duty Planned,325 Luis Estrada Road,Beaumont,CA,92223,Riverside,1,33.92571953,-116.9778393,2
92,Carson,Light-Duty Planned,111 E Victoria St,Carson,CA,90746,Los Angeles,1,33.86613032,-118.274706,3
93,Lancaster,Light-Duty Planned,43144 10th Street West,Lancaster,CA,93534,Los Angeles,1,34.66650415,-118.1474617,2
94,Perris,Light-Duty Planned,796 Ramona Expy,Perris,CA,92571,Riverside,1,33.84509358,-117.2434009,3
95,Vacaville,Light-Duty Planned,299 Orange Drive,Vacaville,CA,95687,Solano,1,37.99973473,-121.9556346,2
96,West Sacramento - W Capital,Light-Duty Planned,4900 W. Capitol Ave,West Sacramento,CA,95691,Yolo,1,38.57563587,-121.5767986,4
97,Kerman,Light-Duty Planned,24209 W. Whitesbridge Ave,Kerman,CA,93630,Fresno,1,36.7343683,-120.2400417,3
98,Thousand Palms,Light-Duty Planned,32505 Harry Oliver Trail,Thousand Palms,CA,92276,Riverside,1,33.8125455,-116.3978386,2
